name,latitude,longitude,ndvi,health_score,status
Nairobi,-1.286389,36.817223,0.322,47.45,Moderately Degraded
Mombasa,-4.043477,39.668206,0.472,61.09,Moderately Degraded
Kisumu,-0.091702,34.767956,0.625,75.0,Healthy
Eldoret,0.5143,35.2696,0.252,41.09,Moderately Degraded
Nakuru,-0.3031,36.08,0.55,68.18,Healthy
Thika,-1.0333,37.0692,0.522,65.64,Healthy
Kitale,1.0158,35.0056,0.326,47.82,Moderately Degraded
Garissa,-0.4562,39.6589,0.073,24.82,Highly Degraded
Malindi,-3.2186,40.1168,0.331,48.27,Moderately Degraded
Meru,0.0465,37.6493,0.666,78.73,Healthy
Bungoma,0.5691,34.5605,0.42,56.36,Moderately Degraded
Kakamega,0.2821,34.7519,0.836,94.18,Healthy
Kitui,-1.3667,38.0167,0.632,75.64,Healthy
Busia,0.4543,34.0902,0.108,28.0,Highly Degraded
Siaya,0.06,34.2867,0.071,24.64,Highly Degraded
